Fecha,Fondo,Tipo,Moneda,PatrimonioNeto,PatrimonioNeto_USD
2025-01-09,Novus Liquidez Plus,Renta Fija CP,ARS,7638851292.14,7366298.60580672
2025-01-09,Novus Liquidez,Money Market,ARS,61288809962.12,59102037.480433695
2025-01-09,Novus Renta Mixta,Mixto,ARS,1520362163.03,1466115.9451255256
2025-01-09,Novus Balanceado,Renta Fija Mix,ARS,110398713.48,106459.70946277655
2025-01-09,Novus Estrategia,CER,ARS,1228543954.67,1184709.752076168
2025-01-09,Novus Multiestrategia,Multi,ARS,5165666912.34,4981356.950041103
2025-01-09,Novus PyME FCI Abierto PyMES,PyME,ARS,1909611328.99,1841476.778693907
2025-01-09,Novus Renta Capital,Pagarés/Cheques,ARS,140374035.57,135365.51805566982
2025-01-09,Novus Gestion II,Renta Fija CP,ARS,5226322022.61,5039847.898107691
2025-01-09,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-09,Novus Performance,House View ARS,ARS,47321392934.24,45632975.09862501
2025-01-09,Novus Renta Balanceado,Renta Fija Mix,ARS,823221569.25,793849.1883034757
2025-01-09,Novus Renta Dolar,USD MEP,USD,18220754.93,18220754.93
2025-01-09,Novus Capital,House View USD,USD,17955908.93,17955908.93
2025-01-09,Novus Income,Renta Fija,ARS,2684583400.72,2588798.0018989965
2025-01-09,Novus Gestión,Renta Fija CER,ARS,71902062071.82,69336610.87751004
2025-01-09,Novus Valor,Dólar Linked,ARS,508307807.74,490171.4868213995
2025-01-10,Novus Estrategia,CER,ARS,1061042374.98,1023184.595249191
2025-01-10,Novus PyME FCI Abierto PyMES,PyME,ARS,1912301004.87,1844070.4874764436
2025-01-10,Novus Capital,House View USD,USD,18120089.92,18120089.92
2025-01-10,Novus Renta Mixta,Mixto,ARS,1526944131.43,1472463.0702094075
2025-01-10,Novus Income,Renta Fija,ARS,2687848236.47,2591946.3489624034
2025-01-10,Novus Renta Balanceado,Renta Fija Mix,ARS,827852622.96,798315.0069433136
2025-01-10,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-10,Novus Renta Fija,Renta Fija,ARS,2657851616.33,2563020.0022296747
2025-01-10,Novus Liquidez Plus,Renta Fija CP,ARS,7489181727.19,7221969.2210002225
2025-01-10,Novus Valor,Dólar Linked,ARS,509665972.95,491481.1929683397
2025-01-10,Novus Gestion II,Renta Fija CP,ARS,5278753691.11,5090408.815161945
2025-01-10,Novus Renta Dolar,USD MEP,USD,18211641.25,18211641.25
2025-01-10,Novus Renta Capital,Pagarés/Cheques,ARS,140584473.01,135568.44712989812
2025-01-10,Novus Multiestrategia,Multi,ARS,5159237943.15,4975157.365186008
2025-01-10,Novus Gestión,Renta Fija CER,ARS,72061561397.39,69490419.29904357
2025-01-10,Novus Liquidez,Money Market,ARS,66455420621.21,64084304.5045295
2025-01-10,Novus Performance,House View ARS,ARS,46782370339.11,45113184.72188473
2025-01-10,Novus Balanceado,Renta Fija Mix,ARS,110458619.29,106517.47784545692
2025-01-13,Novus Liquidez Plus,Renta Fija CP,ARS,7491631017.83,7206956.530783142
2025-01-13,Novus Income,Renta Fija,ARS,2690414347.72,2588181.292920867
2025-01-13,Novus Gestion II,Renta Fija CP,ARS,6974714621.26,6709682.440366428
2025-01-13,Novus Valor,Dólar Linked,ARS,509913193.27,490537.0018389104
2025-01-13,Novus Estrategia,CER,ARS,1237758833.61,1190725.235691598
2025-01-13,Novus Performance,House View ARS,ARS,46810188147.0,45031447.80760005
2025-01-13,Novus Gestión,Renta Fija CER,ARS,72197186561.06,69453765.66892304
2025-01-13,Novus Balanceado,Renta Fija Mix,ARS,110620515.49,106417.04652189053
2025-01-13,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-13,Novus Renta Dolar,USD MEP,USD,18166738.09,18166738.09
2025-01-13,Novus Capital,House View USD,USD,18233473.1,18233473.1
2025-01-13,Novus PyME FCI Abierto PyMES,PyME,ARS,1915765142.77,1842967.983109797
2025-01-13,Novus Renta Capital,Pagarés/Cheques,ARS,1491810384.06,1435123.081276037
2025-01-13,Novus Renta Fija,Renta Fija,ARS,2662971876.67,2561781.6083282973
2025-01-13,Novus Renta Balanceado,Renta Fija Mix,ARS,828533487.61,797050.0436142705
2025-01-13,Novus Liquidez,Money Market,ARS,63687486255.6,61267425.465370595
2025-01-13,Novus Renta Mixta,Mixto,ARS,1496812767.33,1439935.37898416
2025-01-13,Novus Multiestrategia,Multi,ARS,5178035265.24,4981275.103195913
2025-01-14,Novus Multiestrategia,Multi,ARS,5189762443.78,4990156.395548563
2025-01-14,Novus Income,Renta Fija,ARS,2697111542.52,2593376.586927371
2025-01-14,Novus Renta Balanceado,Renta Fija Mix,ARS,829388942.08,797489.3992841914
2025-01-14,Novus Valor,Dólar Linked,ARS,534082405.94,513540.7954839395
2025-01-14,Novus Gestion II,Renta Fija CP,ARS,7025131218.39,6754934.134033904
2025-01-14,Novus Gestión,Renta Fija CER,ARS,72280816728.27,69500788.09567577
2025-01-14,Novus Performance,House View ARS,ARS,46772033914.9,44973111.33248215
2025-01-14,Novus Liquidez,Money Market,ARS,46616500882.93,44823560.33422126
2025-01-14,Novus Estrategia,CER,ARS,1245219068.3,1197326.0751045814
2025-01-14,Novus Renta Capital,Pagarés/Cheques,ARS,1498181507.14,1440559.1991031372
2025-01-14,Novus Balanceado,Renta Fija Mix,ARS,110674458.25,106417.7525740178
2025-01-14,Novus Liquidez Plus,Renta Fija CP,ARS,7473373670.78,7185936.509341306
2025-01-14,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-14,Novus PyME FCI Abierto PyMES,PyME,ARS,1917855916.85,1844092.3015040767
2025-01-14,Novus Renta Dolar,USD MEP,USD,18187704.99,18187704.99
2025-01-14,Novus Renta Mixta,Mixto,ARS,1519320090.87,1460884.7611950058
2025-01-14,Novus Capital,House View USD,USD,18404503.2,18404503.2
2025-01-14,Novus Renta Fija,Renta Fija,ARS,2663956248.47,2561496.495219475
2025-01-15,Novus Capital,House View USD,USD,19502921.45,19502921.45
2025-01-15,Novus Renta Dolar,USD MEP,USD,18007283.82,18007283.82
2025-01-15,Novus Renta Capital,Pagarés/Cheques,ARS,1489079328.15,1430431.640994947
2025-01-15,Novus Gestion II,Renta Fija CP,ARS,7135789392.47,6854744.900089691
2025-01-15,Novus Ahorro Dolares,USD MEP,USD,2000.0,2000.0
2025-01-15,Novus Renta Mixta,Mixto,ARS,1511467614.72,1451938.16042073
2025-01-15,Novus Balanceado,Renta Fija Mix,ARS,110728559.03,106367.49258689166
