Fecha,Agente,Asset_Category,Moneda,Volumen_USD,Gastos_USD,TC_Aplicado,Fondo
2026-03-11,WIN Securities,Renta Variable,ARS,25488.103568534625,46.260911148452045,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,98383.0509851141,178.56524181806816,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,8034.7774648876075,14.583116489172012,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,104105.98608745808,188.94184671804416,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,42856.442585070814,77.78298947062007,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,21494.89499441902,39.01322468170404,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,53725.74303727405,97.5122307580681,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,1336.0980348867213,2.4251648301720024,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,5341.216136585005,9.694312615624009,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,10705.601414275498,19.431297152316017,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,104310.9451481301,189.32437538296819,1395.9999575616,RVARIABLE
2026-03-11,WIN Securities,Renta Variable,ARS,5352.318601105901,9.713359894140009,1395.9999575616,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,13738.866895664754,24.936048614627556,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,11051.143713377804,20.05782705885564,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,1373.2233693839755,2.4923986943849554,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,2073.250256577713,3.762947270546933,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,26894.98011964452,48.81439196484213,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,25489.135739339545,46.26278208400417,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,6551.015199458058,11.89009673814579,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,74889.03146548817,135.92359904783157,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,6896.544957172677,12.517231908311777,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,26943.34871024952,48.90217970186013,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,344.97525789719384,0.6261312261059888,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,1382.9616267659753,2.5100752808699553,1394.5000082973,RVARIABLE
2026-03-12,WIN Securities,Renta Variable,ARS,2748.146272640951,4.9878881022689106,1394.5000082973,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,70681.09455558207,128.28618584832412,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,14523.465699393013,26.360093924556026,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,29043.998017608028,52.71485833605605,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,17180.475092487017,31.182558254540027,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,36107.34350454003,65.53483007248806,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,906.9735232740009,1.6461605084960014,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,18138.224047104017,32.92087492629603,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,5427.664921448005,9.85121090119601,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,67098.44043520806,121.78367132400011,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,7256.991624624006,13.171440228492013,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,3586.9771864080035,6.5103655274280054,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,70340.72563406006,127.66842078656411,1395.9999575616,RVARIABLE
2026-03-16,WIN Securities,Renta Variable,ARS,3618.3281902264034,6.567278136608006,1395.9999575616,RVARIABLE
2026-03-17,WIN Securities,Renta Variable,ARS,22235.11170746602,40.35672758787604,1395.9999575616,RVARIABLE
